algo,ratio,pdr_mean,pdr_std,pdr_n,pdr_ci95,pdr_cv,timely_overall_mean,timely_overall_std,timely_overall_n,timely_overall_ci95,timely_overall_cv,bits_per_joule_mean,bits_per_joule_std,bits_per_joule_n,bits_per_joule_ci95,bits_per_joule_cv,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_n,overhead_ratio_ci95,overhead_ratio_cv,pdr_rel_impr_pct_mean,pdr_rel_impr_pct_std,pdr_rel_impr_pct_n,pdr_rel_impr_pct_ci95,pdr_rel_impr_pct_cv,bpj_rel_impr_pct_mean,bpj_rel_impr_pct_std,bpj_rel_impr_pct_n,bpj_rel_impr_pct_ci95,bpj_rel_impr_pct_cv,overhead_rel_red_pct_mean,overhead_rel_red_pct_std,overhead_rel_red_pct_n,overhead_rel_red_pct_ci95,overhead_rel_red_pct_cv,FND_mean,FND_std,FND_n,FND_ci95,FND_cv,HND_mean,HND_std,HND_n,HND_ci95,HND_cv,LND_mean,LND_std,LND_n,LND_ci95,LND_cv
SHEER,0.1,0.9165441661527897,0.009758896289535841,5,0.008554049751598878,0.010647491577518842,0.892507631131739,0.015410330757604245,5,0.013507750474865524,0.017266329407249207,1530.4934121605743,6.272644207158379,5,5.498215067583576,0.004098445741300782,0.1177562926933857,0.0015669085171247888,5,0.0013734558718552533,0.013306367594339199,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,1282.4,22.875751353780704,5,20.05148014486711,0.017838234056285644,1295.4,22.412050330123776,5,19.64502827689489,0.017301258553438125,6637.4,2342.2583760123475,5,2053.0799882556944,0.35288793443401756
SHEER,0.2,0.8321589450642245,0.009478072087318571,5,0.008307896485291946,0.011389737673957298,0.7766041627042616,0.014490456894834178,5,0.01270144548361685,0.018658742240546394,1423.6629162214385,12.031630832841772,5,10.546189413587337,0.008451179486205277,0.13039221960439423,0.001361897012923161,5,0.0011937553653060297,0.01044461868242678,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,1293.0,31.1688947510174,5,27.320740839150027,0.024105873744019644,1306.2,30.523761236125544,5,26.755256380756286,0.023368367199606138,8168.8,1914.444749790393,5,1678.0848110819668,0.23436058537244062
SHEER,0.3,0.7519287933698711,0.006189093651371244,5,0.005424979776442762,0.008230957114481513,0.6782515982814885,0.009316119409035217,5,0.008165938703762298,0.013735492010103349,1335.9174117713735,6.818632606923754,5,5.976795000889798,0.005104082443152298,0.14574597602944556,0.0010416411205103214,5,0.0009130386986190919,0.0071469631538909634,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,1291.4,27.15326867984772,5,23.800889395146555,0.021026226327898197,1305.8,26.75256997000472,5,23.449661490094048,0.020487494233423765,9823.4,2702.8553050431688,5,2369.1571326056023,0.2751445838551997
SHEER,0.4,0.6690954559110105,0.007625866599296482,5,0.006684366792521838,0.01139727752135668,0.5637121061921654,0.007536800759159762,5,0.006606297141498454,0.013369946602832933,1240.8023881100783,15.30480300050772,5,13.41525131742019,0.012334601502354589,0.16262100246383887,0.0021102525227422843,5,0.0018497178914925448,0.012976506667467792,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,1316.4,25.54016444739541,5,22.386941193472587,0.019401522673499996,1334.4,25.686572367678806,5,22.515273393854223,0.019249529652037467,9325.6,1808.843912558516,5,1585.5215960736705,0.19396541912139872
SHEER,0.5,0.5946787929503655,0.00535243953533858,5,0.0046916201094179665,0.009000555592008973,0.4689788367983875,0.008169695440060598,5,0.007161053788902646,0.017420179332255696,1156.4352521054514,11.30104115337813,5,9.905799324306665,0.009772307729985781,0.181612861976178,0.001016869893070805,5,0.0008913257604302728,0.005599107254882581,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,0.0,0.0,5,0.0,,1326.6,33.3886208160804,5,29.26641652133038,0.02516856687477796,1346.0,31.929610082179224,5,27.987537226415615,0.023721849986760184,8978.0,1396.3815739259812,5,1223.9824157560433,0.1555337017070596
TFSM_DPC,0.1,0.9162299780467368,0.011143986529431976,5,0.009768134876699518,0.012162870454412823,0.8952987326007135,0.012867744058916322,5,0.011279074969659929,0.014372570395065096,1386.5927169034835,5.892957163722056,5,5.1654047001780885,0.004249955370371526,0.1179863636533038,0.0019280403122675601,5,0.0016900018470233527,0.016341213107753678,-0.033878778681435406,0.6609783267991064,5,0.5793730483877342,-19.510099021406088,-9.402191805929366,0.14751650686612372,5,0.12930391936513935,-0.015689587057040755,-0.192248003506017,0.35328382209424547,5,0.3096669234890406,-1.8376462467824193,574.2,32.49153735974956,5,28.480088202110608,0.056585749494513296,1054.2,20.191582404556623,5,17.698702325311874,0.01915346462204193,6257.6,1208.2798930711378,5,1059.1040228872703,0.19308998546905165
TFSM_DPC,0.2,0.8369002925609532,0.002514590642041791,5,0.0022041358795865883,0.003004647822916903,0.7886638606330117,0.004740935363411416,5,0.0041556130698120666,0.0060113510965319914,1320.5949375462774,14.752106832634924,5,12.930791766131446,0.011170803713699669,0.12944982805782945,0.0010417859850287443,5,0.0009131656779680945,0.008047797364113499,0.5814873440195689,1.3130584578465367,5,1.150946484308952,2.258103243950135,-7.236857090294282,1.0531563777432087,5,0.9231322666159343,-0.14552676177005766,0.7181726335190741,0.8392617442782024,5,0.7356453539594734,1.16860724720989,643.6,61.654683520394464,5,54.042712885272515,0.09579658719762967,1081.6,37.500666660740855,5,32.870783623150814,0.0346714743534956,7729.4,1002.2456285761489,5,878.5070274141237,0.12966667898881531
TFSM_DPC,0.3,0.7529211276685194,0.008330045435784148,5,0.0073016067572294644,0.011063636189329392,0.678162310010074,0.010142131345264281,5,0.00888997008889896,0.014955315557294225,1252.982223523147,17.336240493368503,5,15.195884789242902,0.013835982799997168,0.14389618181369515,0.0013039525662990525,5,0.001142964818450555,0.009061759317473094,0.13603268790621792,1.2551350683325315,5,1.1001743948242706,9.226716663849444,-6.206334648231033,1.3633672500934388,5,1.195044085006307,-0.21967349931445188,1.2674211972520633,0.8608856655537162,5,0.7545995566610374,0.6792419658281164,666.4,82.57299800782336,5,72.37842396736751,0.12390906063598944,1146.0,26.028830169640724,5,22.815275584572717,0.022712766291135028,7267.8,1062.7006634043285,5,931.498201857631,0.14622040554285043
TFSM_DPC,0.4,0.6721458530692738,0.006685699365310093,5,0.005860273877120547,0.009946798503302,0.5756065098536063,0.006868598057280206,5,0.006020591649150997,0.011932801210026428,1175.0581471363298,13.733389730515318,5,12.037846855580462,0.011687412885893525,0.1606227820588953,0.0016604763979232496,5,0.0014554717355098317,0.010337738997164237,0.47074439880581354,1.8424233891986994,5,1.6149553051008665,3.9138509005578546,-5.296011345239447,0.678569956309928,5,0.5947927915208402,-0.12812849370496363,1.21888398118557,1.357006783210552,5,1.1894688899693486,1.113319072329291,682.0,76.06904758178587,5,66.67746005960335,0.11153819293516987,1217.4,41.47047142244709,5,36.3504709185452,0.034064786777104554,6935.4,731.5718009874356,5,641.2509567525026,0.10548372134086507
TFSM_DPC,0.5,0.6026282937409568,0.0037018880912026487,5,0.003244847979474179,0.006142904556011243,0.4805308061438775,0.007371811610133678,5,0.00646167777601179,0.015340976095352489,1117.002691002345,13.207662591846258,5,11.57702670066571,0.01182419943858355,0.1769515014295506,0.0016143679782276697,5,0.0014150559236862596,0.009123222833293644,1.3439344046658652,1.1716849253200903,5,1.0270271193611746,0.8718319296330536,-3.4029065489613997,1.4394259485252385,5,1.2617124736359822,-0.4229989650948732,2.5638589934981426,1.0819120643781306,5,0.9483377372776384,0.4219857906077604,684.0,38.1247950814165,5,33.41785630467639,0.05573800450499489,1305.2,56.126642514941146,5,49.19717130079736,0.04300233107182129,5882.4,1161.5805180873172,5,1018.1702159148047,0.19746710833797723
